ano,area_nome,n_programas,n_A,n_conceito_numerico,prop_3,prop_4,prop_5,prop_6_7
2013,Economia,55,0,55,0.2909090909090909,0.32727272727272727,0.23636363636363636,0.14545454545454545
2013,Sociologia,52,0,52,0.36538461538461536,0.28846153846153844,0.23076923076923078,0.11538461538461539
2013,Antropologia / Arqueologia,26,0,26,0.23076923076923078,0.34615384615384615,0.23076923076923078,0.19230769230769232
2013,Geografia,52,0,52,0.28846153846153844,0.40384615384615385,0.19230769230769232,0.11538461538461539
2013,Ciência Política / RI,32,0,32,0.3125,0.34375,0.15625,0.1875
2013,História,63,0,63,0.3492063492063492,0.3492063492063492,0.20634920634920634,0.09523809523809523
2014,Economia,57,0,57,0.3333333333333333,0.2982456140350877,0.22807017543859648,0.14035087719298245
2014,Sociologia,51,0,51,0.35294117647058826,0.29411764705882354,0.23529411764705882,0.11764705882352941
2014,Antropologia / Arqueologia,27,0,27,0.25925925925925924,0.3333333333333333,0.2222222222222222,0.18518518518518517
2014,Geografia,56,0,56,0.3392857142857143,0.375,0.17857142857142858,0.10714285714285714
2014,Ciência Política / RI,37,0,37,0.3783783783783784,0.32432432432432434,0.13513513513513514,0.16216216216216217
2014,História,69,0,69,0.391304347826087,0.3333333333333333,0.18840579710144928,0.08695652173913043
2015,Economia,61,0,61,0.32786885245901637,0.32786885245901637,0.21311475409836064,0.13114754098360656
2015,Sociologia,51,0,51,0.35294117647058826,0.29411764705882354,0.23529411764705882,0.11764705882352941
2015,Antropologia / Arqueologia,28,0,28,0.2857142857142857,0.32142857142857145,0.21428571428571427,0.17857142857142858
2015,Geografia,62,0,62,0.3870967741935484,0.3548387096774194,0.16129032258064516,0.0967741935483871
2015,Ciência Política / RI,40,0,40,0.4,0.3,0.15,0.15
2015,História,69,0,69,0.391304347826087,0.3333333333333333,0.18840579710144928,0.08695652173913043
2016,Economia,66,0,66,0.3787878787878788,0.30303030303030304,0.19696969696969696,0.12121212121212122
2016,Sociologia,53,0,53,0.37735849056603776,0.2830188679245283,0.22641509433962265,0.11320754716981132
2016,Antropologia / Arqueologia,29,0,29,0.3103448275862069,0.3103448275862069,0.20689655172413793,0.1724137931034483
2016,Geografia,64,0,64,0.40625,0.34375,0.15625,0.09375
2016,Ciência Política / RI,43,0,43,0.4418604651162791,0.27906976744186046,0.13953488372093023,0.13953488372093023
2016,História,71,0,71,0.4084507042253521,0.323943661971831,0.18309859154929578,0.08450704225352113
2017,Economia,70,0,70,0.32857142857142857,0.34285714285714286,0.17142857142857143,0.15714285714285714
2017,Sociologia,51,0,51,0.19607843137254902,0.47058823529411764,0.19607843137254902,0.13725490196078433
2017,Antropologia / Arqueologia,31,0,31,0.2903225806451613,0.2903225806451613,0.2903225806451613,0.12903225806451613
2017,Geografia,65,0,65,0.4,0.26153846153846155,0.2,0.13846153846153847
2017,Ciência Política / RI,48,0,48,0.3958333333333333,0.2916666666666667,0.14583333333333334,0.16666666666666666
2017,História,71,0,71,0.29577464788732394,0.38028169014084506,0.23943661971830985,0.08450704225352113
2018,Economia,69,0,69,0.2898550724637681,0.34782608695652173,0.21739130434782608,0.14492753623188406
2018,Sociologia,51,0,51,0.2549019607843137,0.4117647058823529,0.17647058823529413,0.1568627450980392
2018,Antropologia / Arqueologia,33,0,33,0.3333333333333333,0.2727272727272727,0.2727272727272727,0.12121212121212122
2018,Geografia,65,0,65,0.4,0.26153846153846155,0.2,0.13846153846153847
2018,Ciência Política / RI,50,1,49,0.40816326530612246,0.32653061224489793,0.12244897959183673,0.14285714285714285
2018,História,72,0,72,0.3194444444444444,0.3611111111111111,0.2361111111111111,0.08333333333333333
2019,Economia,75,6,69,0.2898550724637681,0.34782608695652173,0.21739130434782608,0.14492753623188406
2019,Sociologia,53,1,52,0.25,0.4230769230769231,0.17307692307692307,0.15384615384615385
2019,Antropologia / Arqueologia,37,4,33,0.3333333333333333,0.2727272727272727,0.2727272727272727,0.12121212121212122
2019,Geografia,76,11,65,0.4,0.26153846153846155,0.2,0.13846153846153847
2019,Ciência Política / RI,58,9,49,0.40816326530612246,0.32653061224489793,0.12244897959183673,0.14285714285714285
2019,História,81,9,72,0.3194444444444444,0.3611111111111111,0.2361111111111111,0.08333333333333333
2020,Economia,75,6,69,0.2898550724637681,0.34782608695652173,0.21739130434782608,0.14492753623188406
2020,Sociologia,52,1,51,0.23529411764705882,0.43137254901960786,0.17647058823529413,0.1568627450980392
