ano,area_nome,regiao,programas,participacao_regional
2016,Ciência Política / RI,SUDESTE,20,0.46511627906976744
2016,Ciência Política / RI,SUL,9,0.20930232558139536
2016,Sociologia,CENTRO-OESTE,6,0.08450704225352113
2016,Sociologia,NORDESTE,17,0.23943661971830985
2016,Sociologia,NORTE,2,0.028169014084507043
2016,Sociologia,SUDESTE,29,0.4084507042253521
2016,Sociologia,SUL,17,0.23943661971830985
2016,Antropologia / Arqueologia,CENTRO-OESTE,15,0.09740259740259741
2016,Antropologia / Arqueologia,NORDESTE,30,0.19480519480519481
2016,Antropologia / Arqueologia,NORTE,11,0.07142857142857142
2016,Antropologia / Arqueologia,SUDESTE,64,0.4155844155844156
2016,Antropologia / Arqueologia,SUL,34,0.22077922077922077
2016,História,CENTRO-OESTE,25,0.11210762331838565
2016,História,NORDESTE,47,0.21076233183856502
2016,História,NORTE,13,0.05829596412556054
2016,História,SUDESTE,93,0.4170403587443946
2016,História,SUL,45,0.20179372197309417
2017,Geografia,CENTRO-OESTE,10,0.15384615384615385
2017,Geografia,NORDESTE,15,0.23076923076923078
2017,Geografia,NORTE,5,0.07692307692307693
2017,Geografia,SUDESTE,23,0.35384615384615387
2017,Geografia,SUL,12,0.18461538461538463
2017,Economia,CENTRO-OESTE,16,0.09090909090909091
2017,Economia,NORDESTE,33,0.1875
2017,Economia,NORTE,13,0.07386363636363637
2017,Economia,SUDESTE,70,0.3977272727272727
2017,Economia,SUL,44,0.25
2017,Ciência Política / RI,CENTRO-OESTE,6,0.125
2017,Ciência Política / RI,NORDESTE,10,0.20833333333333334
2017,Ciência Política / RI,NORTE,2,0.041666666666666664
2017,Ciência Política / RI,SUDESTE,21,0.4375
2017,Ciência Política / RI,SUL,9,0.1875
2017,Sociologia,CENTRO-OESTE,6,0.08333333333333333
2017,Sociologia,NORDESTE,18,0.25
2017,Sociologia,NORTE,2,0.027777777777777776
2017,Sociologia,SUDESTE,29,0.4027777777777778
2017,Sociologia,SUL,17,0.2361111111111111
2017,Antropologia / Arqueologia,CENTRO-OESTE,16,0.1032258064516129
2017,Antropologia / Arqueologia,NORDESTE,30,0.1935483870967742
2017,Antropologia / Arqueologia,NORTE,11,0.07096774193548387
2017,Antropologia / Arqueologia,SUDESTE,64,0.4129032258064516
2017,Antropologia / Arqueologia,SUL,34,0.21935483870967742
2017,História,CENTRO-OESTE,26,0.11607142857142858
2017,História,NORDESTE,47,0.20982142857142858
2017,História,NORTE,13,0.05803571428571429
2017,História,SUDESTE,93,0.41517857142857145
2017,História,SUL,45,0.20089285714285715
2018,Geografia,CENTRO-OESTE,10,0.15384615384615385
2018,Geografia,NORDESTE,15,0.23076923076923078
2018,Geografia,NORTE,5,0.07692307692307693
2018,Geografia,SUDESTE,23,0.35384615384615387
2018,Geografia,SUL,12,0.18461538461538463
2018,Economia,CENTRO-OESTE,16,0.09090909090909091
2018,Economia,NORDESTE,33,0.1875
2018,Economia,NORTE,13,0.07386363636363637
2018,Economia,SUDESTE,70,0.3977272727272727
2018,Economia,SUL,44,0.25
2018,Ciência Política / RI,CENTRO-OESTE,6,0.11764705882352941
2018,Ciência Política / RI,NORDESTE,10,0.19607843137254902
2018,Ciência Política / RI,NORTE,2,0.0392156862745098
2018,Ciência Política / RI,SUDESTE,23,0.45098039215686275
2018,Ciência Política / RI,SUL,10,0.19607843137254902
2018,Sociologia,CENTRO-OESTE,6,0.08333333333333333
2018,Sociologia,NORDESTE,18,0.25
2018,Sociologia,NORTE,2,0.027777777777777776
2018,Sociologia,SUDESTE,29,0.4027777777777778
2018,Sociologia,SUL,17,0.2361111111111111
2018,Antropologia / Arqueologia,CENTRO-OESTE,16,0.10457516339869281
2018,Antropologia / Arqueologia,NORDESTE,30,0.19607843137254902
2018,Antropologia / Arqueologia,NORTE,10,0.06535947712418301
2018,Antropologia / Arqueologia,SUDESTE,64,0.41830065359477125
2018,Antropologia / Arqueologia,SUL,33,0.21568627450980393
2018,História,CENTRO-OESTE,26,0.11607142857142858
2018,História,NORDESTE,47,0.20982142857142858
2018,História,NORTE,13,0.05803571428571429
2018,História,SUDESTE,93,0.41517857142857145
2018,História,SUL,45,0.20089285714285715
2019,Geografia,CENTRO-OESTE,11,0.14473684210526316
2019,Geografia,NORDESTE,19,0.25
2019,Geografia,NORTE,8,0.10526315789473684
2019,Geografia,SUDESTE,25,0.32894736842105265
2019,Geografia,SUL,13,0.17105263157894737
2019,Economia,CENTRO-OESTE,18,0.09782608695652174
2019,Economia,NORDESTE,35,0.19021739130434784
2019,Economia,NORTE,14,0.07608695652173914
2019,Economia,SUDESTE,71,0.3858695652173913
2019,Economia,SUL,46,0.25
2019,Ciência Política / RI,CENTRO-OESTE,7,0.1206896551724138
2019,Ciência Política / RI,NORDESTE,10,0.1724137931034483
2019,Ciência Política / RI,NORTE,2,0.034482758620689655
2019,Ciência Política / RI,SUDESTE,27,0.46551724137931033
2019,Ciência Política / RI,SUL,12,0.20689655172413793
2019,Sociologia,CENTRO-OESTE,8,0.09876543209876543
2019,Sociologia,NORDESTE,20,0.24691358024691357
