k_num,topico,slope_capes,p_slope_capes,dif_slope_openalex,p_dif_slope
1,"T1: Políticas Públicas, Educação e Saúde",0.0063383924514379365,2.7949700913312984e-138,-0.0033563385280498915,1.3759546964792427e-8
2,"T2: Política Externa, Cooperação e Integração Regional",-0.0021996309551352445,2.9510682842916066e-16,0.0014281548766513406,0.01724148786177563
3,T3: Economia Política Internacional e Desenvolvimento,-0.0010997762051258217,1.3106954047795956e-6,-0.0012520557363003932,0.016928447428873637
4,"T4: Defesa, Forças Armadas e Operações de Paz",0.0028220075454088644,1.3557606013510599e-38,-0.002592276822164838,2.536846166170357e-7
5,"T5: Eleições, Partidos e Instituições Representativas",-3.318309843182426e-4,0.25094713713419353,0.006765032494206025,2.2625344501035594e-19
6,T6: Teoria e Pensamento Político,-0.006641717619828329,1.7667326963314774e-113,-0.0018933423417536125,0.006932022530590146
7,"T7: Direitos, Gênero e Violência",0.0030721360497341045,1.8986827605600526e-42,-0.0019651346906736917,3.0219517416083674e-4
8,"T8: Participação, Movimentos e Arranjos Institucionais",-0.001958600711923687,5.209247966354464e-22,0.0028539933973985186,7.717649225776987e-8
