ano,area_nome,modalidade,programas,participacao
2021,Geografia,ACADEMICO,73,0.9358974358974359
2021,Geografia,PROFISSIONAL,5,0.0641025641025641
2021,Ciência Política / RI,ACADEMICO,43,0.7049180327868853
2021,Ciência Política / RI,PROFISSIONAL,18,0.29508196721311475
2021,História,ACADEMICO,70,0.8536585365853658
2021,História,PROFISSIONAL,12,0.14634146341463414
2022,Economia,ACADEMICO,55,0.7333333333333333
2022,Economia,PROFISSIONAL,20,0.26666666666666666
2022,Sociologia,ACADEMICO,50,0.9803921568627451
2022,Sociologia,PROFISSIONAL,1,0.0196078431372549
2022,Antropologia / Arqueologia,ACADEMICO,36,0.972972972972973
2022,Antropologia / Arqueologia,PROFISSIONAL,1,0.02702702702702703
2022,Geografia,ACADEMICO,72,0.935064935064935
2022,Geografia,PROFISSIONAL,5,0.06493506493506493
2022,Ciência Política / RI,ACADEMICO,42,0.7
2022,Ciência Política / RI,PROFISSIONAL,18,0.3
2022,História,ACADEMICO,69,0.8518518518518519
2022,História,PROFISSIONAL,12,0.14814814814814814
2023,Economia,ACADEMICO,55,0.7432432432432432
2023,Economia,PROFISSIONAL,19,0.25675675675675674
2023,Sociologia,ACADEMICO,50,0.9803921568627451
2023,Sociologia,PROFISSIONAL,1,0.0196078431372549
2023,Antropologia / Arqueologia,ACADEMICO,36,1
2023,Geografia,ACADEMICO,72,0.935064935064935
2023,Geografia,PROFISSIONAL,5,0.06493506493506493
2023,Ciência Política / RI,ACADEMICO,42,0.7
2023,Ciência Política / RI,PROFISSIONAL,18,0.3
2023,História,ACADEMICO,69,0.8518518518518519
2023,História,PROFISSIONAL,12,0.14814814814814814
2024,Economia,ACADEMICO,55,0.7236842105263158
2024,Economia,PROFISSIONAL,21,0.27631578947368424
2024,Sociologia,ACADEMICO,52,1
2024,Antropologia / Arqueologia,ACADEMICO,38,1
2024,Geografia,ACADEMICO,76,0.95
2024,Geografia,PROFISSIONAL,4,0.05
2024,Ciência Política / RI,ACADEMICO,44,0.6875
2024,Ciência Política / RI,PROFISSIONAL,20,0.3125
2024,História,ACADEMICO,69,0.8625
2024,História,PROFISSIONAL,11,0.1375
