Tópico,Termos FREX,Termos Alta Probabilidade
"T1: Políticas Públicas, Educação e Saúde","ensino, educacao, saude, alunos, estudantes, escolar, deficiencia","publicas, publica, saude, educacao, politicas, politica, gestao"
"T2: Política Externa, Cooperação e Integração Regional","externa, africa, diplomacia, unidos, mercosul, cooperacao, sul","politica, internacional, externa, sul, paises, relacoes, internacionais"
T3: Economia Política Internacional e Desenvolvimento,"empresas, mercado, economia, setor, industrial, investimentos, energia","desenvolvimento, paises, economia, economica, setor, economico, mercado"
"T4: Defesa, Forças Armadas e Operações de Paz","operacoes, armadas, exercito, militares, paz, defesa, amazonia","seguranca, defesa, militar, paz, militares, guerra, forcas"
"T5: Eleições, Partidos e Instituições Representativas","eleitoral, eleitorais, deputados, eleicoes, partidos, voto, partidaria","eleitoral, partidos, politica, politicos, politico, legislativo, partido"
T6: Teoria e Pensamento Político,"pensamento, obra, nocao, autor, tradicao, liberal, critica","politica, politico, democracia, teoria, social, conceito, ser"
"T7: Direitos, Gênero e Violência","mulher, violencia, penal, mulheres, direitos, indigenas, genero","direitos, mulheres, direito, humanos, violencia, genero, justica"
"T8: Participação, Movimentos e Arranjos Institucionais","conselhos, atores, redes, participacao, movimentos, sindical, cidades","politicas, politica, atores, participacao, sociais, sociedade, institucional"
