periodico,ano,titulo,tipo,doi,id_openalex
Revista_de_Sociologia_e_Politica,2011,Apresentação,article,https://doi.org/10.1590/s0104-44782011000200002,https://openalex.org/W4214690193
Lua_Nova,2011,Apresentação,article,https://doi.org/10.1590/s0102-64452011000100001,https://openalex.org/W4239810408
Revista_de_Sociologia_e_Politica,2012,"Apresentação: Robert Michels, Gramsci e a ciência política contemporânea",article,https://doi.org/10.1590/s0104-44782012000400001,https://openalex.org/W1964627246
Lua_Nova,2012,[NO TITLE AVAILABLE],article,https://doi.org/10.1590/s0102-64452012000100001,https://openalex.org/W4239398115
Revista_de_Sociologia_e_Politica,2012,Errata,article,https://doi.org/10.1590/s0104-44782012000400014,https://openalex.org/W4214573437
DADOS_Revista_de_Ciencias_Sociais,2012,[NO TITLE AVAILABLE],article,https://doi.org/10.1590/s0011-52582012000400008,https://openalex.org/W4213344987
Opiniao_Publica,2012,[NO TITLE AVAILABLE],article,https://doi.org/10.1590/s0104-62762012000100012,https://openalex.org/W4234167345
RBCP_Revista_Brasileira_de_Ciencia_Politica,2012,Nota editorial,article,https://doi.org/10.1590/s0103-33522012000200001,https://openalex.org/W4232004943
RBCP_Revista_Brasileira_de_Ciencia_Politica,2012,Apresentação,article,https://doi.org/10.1590/s0103-33522012000100002,https://openalex.org/W4251411157
Revista_de_Sociologia_e_Politica,2012,[NO TITLE AVAILABLE],article,https://doi.org/10.1590/s0104-44782012000200002,https://openalex.org/W4243252046
Lua_Nova,2012,Apresentação,article,https://doi.org/10.1590/s0102-64452012000300001,https://openalex.org/W4232356802
DADOS_Revista_de_Ciencias_Sociais,2013,[NO TITLE AVAILABLE],article,https://doi.org/10.1590/s0011-52582013000300007,https://openalex.org/W2152898673
Opiniao_Publica,2013,[NO TITLE AVAILABLE],article,https://doi.org/10.1590/s0104-62762013000100010,https://openalex.org/W4241946365
RBCP_Revista_Brasileira_de_Ciencia_Politica,2013,[NO TITLE AVAILABLE],article,https://doi.org/10.1590/s0103-33522013000100010,https://openalex.org/W2091809542
Revista_de_Sociologia_e_Politica,2013,"Errata V. 21, N. 47",article,https://doi.org/10.1590/s0104-44782013000400011,https://openalex.org/W4229632294
Revista_de_Sociologia_e_Politica,2013,"ERRATA V. 21, N. 46",article,https://doi.org/10.1590/s0104-44782013000300011,https://openalex.org/W4245506373
Lua_Nova,2013,Apresentação,article,https://doi.org/10.1590/s0102-64452013000200001,https://openalex.org/W4237871524
RBCP_Revista_Brasileira_de_Ciencia_Politica,2014,[NO TITLE AVAILABLE],article,https://doi.org/10.1590/0103-335220141411,https://openalex.org/W1993741274
Revista_de_Sociologia_e_Politica,2014,"Apresentação do dossiê ""elites em diferentes escalas: teoria e metodologia no estudo dos grupos dirigentes""",article,https://doi.org/10.1590/1678-987314225201,https://openalex.org/W2167062467
Lua_Nova,2014,Apresentação,article,https://doi.org/10.1590/s0102-64452014000200001,https://openalex.org/W4235250944
DADOS_Revista_de_Ciencias_Sociais,2014,NOTA EDITORIAL,article,https://doi.org/10.1590/00115258201418,https://openalex.org/W4212975776
Revista_de_Sociologia_e_Politica,2015,"Apresentação de dossiê: Estado, mercado e desenvolvimento",article,https://doi.org/10.1590/1678-987315235501,https://openalex.org/W1871788846
Lua_Nova,2015,APRESENTAÇÃO,article,https://doi.org/10.1590/0102-6445007-008/95,https://openalex.org/W4240018012
RBCP_Revista_Brasileira_de_Ciencia_Politica,2015,Apresentação: Feminismo e antirracismo,article,https://doi.org/10.1590/0103-335220151601,https://openalex.org/W2275881497
Lua_Nova,2016,APRESENTAÇÃO,article,https://doi.org/10.1590/0102-6445007-013/98,https://openalex.org/W4244858768
DADOS_Revista_de_Ciencias_Sociais,2016,Nota Editorial,article,https://doi.org/10.1590/00115258201669,https://openalex.org/W4212937225
RBCP_Revista_Brasileira_de_Ciencia_Politica,2016,Errata,article,https://doi.org/10.1590/0103-3352201518091,https://openalex.org/W4236383363
DADOS_Revista_de_Ciencias_Sociais,2016,Nota Editorial: Política e Fluxo Editorial da DADOS,article,https://doi.org/10.1590/00115258201678,https://openalex.org/W2520495989
RBCP_Revista_Brasileira_de_Ciencia_Politica,2016,Nota editorial,article,https://doi.org/10.1590/0103-335220161901,https://openalex.org/W4240502808
Revista_de_Sociologia_e_Politica,2016,Errata,article,https://doi.org/10.1590/1678-987316245905-err,https://openalex.org/W4238556931
DADOS_Revista_de_Ciencias_Sociais,2016,Errata,article,https://doi.org/10.1590/0011525820160001,https://openalex.org/W4213320275
Lua_Nova,2017,APRESENTAÇÃO,article,https://doi.org/10.1590/0102-005009/100,https://openalex.org/W4236482622
DADOS_Revista_de_Ciencias_Sociais,2019,ERRATA,article,https://doi.org/10.1590/001152582019001,https://openalex.org/W4235247339
Opiniao_Publica,2019,Errata: Os protestos no Brasil em tempos de crise (2011-2016),article,https://doi.org/10.1590/1807-01912019252472,https://openalex.org/W4237196232
Opiniao_Publica,2019,Errata,article,https://doi.org/10.1590/1807-019120192521,https://openalex.org/W4249537897
RBCP_Revista_Brasileira_de_Ciencia_Politica,2019,ERRATA: The effectiveness of the parliamentary front on sport in the Brazilian National Congress between the World Cup and the Olympic Games,article,https://doi.org/10.1590/0103-335220192904e,https://openalex.org/W4256411658
Revista_de_Sociologia_e_Politica,2019,Errata,article,https://doi.org/10.1590/1678-987319276902-er,https://openalex.org/W4235207197
Lua_Nova,2020,Errata,article,https://doi.org/10.1590/0102-000e01/108,https://openalex.org/W4243795423
RBCP_Revista_Brasileira_de_Ciencia_Politica,2021,ERRATA: Taxonomia das diretrizes para educação nos planos de governo dos elegíveis à Presidência da República Brasileira (2018),article,https://doi.org/10.1590/0103-3352.2021.35.240636e,https://openalex.org/W4250321758
Opiniao_Publica,2021,Errata,article,https://doi.org/10.1590/1807-01912019271325,https://openalex.org/W4235404182
DADOS_Revista_de_Ciencias_Sociais,2023,ERRATA,article,https://doi.org/10.1590/dados.2023.66.2.303e,https://openalex.org/W4377261416
RBCP_Revista_Brasileira_de_Ciencia_Politica,2023,ERRATA: Gênero na propaganda eleitoral: as candidatas dos pleitos majoritários de 2018 e o discurso protagonizado no Horário Gratuito Político Eleitoral (HGPE),article,https://doi.org/10.1590/0103-3352.2023.42.261713e,https://openalex.org/W4389495054
Revista_de_Sociologia_e_Politica,2023,Errata,article,https://doi.org/10.1590/1678-98732230e013-er,https://openalex.org/W4318220614
Lua_Nova,2024,Errata,article,https://doi.org/10.1590/0102-000e02/120,https://openalex.org/W4401398166
Lua_Nova,2025,Apresentação: transformações nas políticas públicas e nas mobilizações sociais,article,https://doi.org/10.1590/0102-014ec/124,https://openalex.org/W4413428713
