ano,area_nome,hhi_ies,gini_ies,gini_uf
1995,Antropologia / Arqueologia,0.16537113244932172,0.38957475994513024,0.3597883597883599
1995,Ciência Política / RI,0.16325785244704163,0.36036036036036045,0.30630630630630645
1995,Economia,0.06955699893422349,0.33923766816143497,0.5331838565022423
1995,Geografia,0.20822065981611682,0.39437984496124034,0.48966408268733846
1995,História,0.10407548755295684,0.4114166376609815,0.5641025641025641
1995,Sociologia,0.07625156184922947,0.3402792696025778,0.5193877551020408
1996,Antropologia / Arqueologia,0.18540861532660946,0.27184466019417464,0.325242718446602
1996,Ciência Política / RI,0.14406472648230892,0.2184065934065933,0.294871794871795
1996,Economia,0.08862879940047169,0.3231151615575807,0.5225352112676056
1996,Geografia,0.264658244250081,0.4314868804664724,0.5204081632653063
1996,História,0.09741010521447566,0.34123972169512967,0.5473118279569892
1996,Sociologia,0.08751731301939059,0.3583591331269349,0.5449561403508772
1997,Antropologia / Arqueologia,0.2034114302519361,0.429042904290429,0.5063649222065063
1997,Ciência Política / RI,0.1706406205113473,0.3860640301318268,0.4519774011299435
1997,Economia,0.07608401566393734,0.39113207547169804,0.5216981132075471
1997,Geografia,0.22781250000000003,0.5180555555555555,0.6109374999999999
1997,História,0.09893742621015347,0.4235209235209234,0.5888311688311688
1997,Sociologia,0.07839781537281748,0.3481141692150867,0.5802752293577983
1998,Antropologia / Arqueologia,0.15263528858955283,0.33824975417895764,0.40960809102402024
1998,Ciência Política / RI,0.15152990828666502,0.33033033033033044,0.3618618618618618
1998,Economia,0.08219797614336592,0.3616541353383459,0.5582706766917293
1998,Geografia,0.17644949621714653,0.4953728905824713,0.5455755156353957
1998,História,0.09491774549154841,0.4111668059036481,0.5847117794486216
1998,Sociologia,0.08321246108221468,0.4146536554151336,0.6203140830800405
1999,Antropologia / Arqueologia,0.15491675338189387,0.31899641577060933,0.3940092165898617
1999,Ciência Política / RI,0.13237311385459533,0.24691358024691348,0.25
1999,Economia,0.06333245501449226,0.33275907765703683,0.48275024295432445
1999,Geografia,0.1639810814684384,0.48303167420814486,0.5633484162895929
1999,História,0.09170953033399969,0.39942074776197994,0.5645076355976829
1999,Sociologia,0.07903840812100704,0.34197302300978566,0.5259631490787271
2000,Antropologia / Arqueologia,0.12238265224572434,0.24744525547445254,0.3001824817518248
2000,Ciência Política / RI,0.15236294896030245,0.31497584541062806,0.381159420289855
2000,Economia,0.0663907150393637,0.41103603603603595,0.4478228228228227
2000,Geografia,0.14817051080787344,0.5378151260504201,0.5680708180708182
2000,História,0.07625156184922949,0.4237476808905382,0.6268707482993197
2000,Sociologia,0.07497172212272599,0.3788834951456311,0.5754294249439881
2001,Antropologia / Arqueologia,0.1547361591695502,0.33660130718954245,0.3445378151260505
2001,Ciência Política / RI,0.1478877471305811,0.2997416020671834,0.35788113695090445
2001,Economia,0.0581185595567867,0.3376315789473683,0.4847368421052633
2001,Geografia,0.11965086292402301,0.45501242750621385,0.5687793427230048
2001,História,0.0751906837170871,0.4176021876799079,0.5677892918825561
2001,Sociologia,0.07877663422716984,0.378191856452726,0.5715347454477888
2002,Antropologia / Arqueologia,0.13495022148151395,0.28675496688741725,0.35678807947019875
2002,Ciência Política / RI,0.11879017013232515,0.3114624505928854,0.3173913043478261
2002,Economia,0.06082977294266671,0.39075306479859906,0.49548699986528366
2002,Geografia,0.09728790995400607,0.4215236076769104,0.5249280920421862
2002,História,0.0691978086374951,0.40974564926372153,0.5624549479971166
2002,Sociologia,0.05762280000796249,0.347655986509275,0.47350036135870865
2003,Antropologia / Arqueologia,0.12125303807723467,0.30830039525691705,0.37819185645272607
2003,Ciência Política / RI,0.12389142703574307,0.33383010432190763,0.35610200364298716
2003,Economia,0.06652419794200475,0.44885605827434094,0.5062859578095035
2003,Geografia,0.07880895126547341,0.36457642847673344,0.468513853904282
2003,História,0.06029714332978361,0.34508038585208994,0.5414296314617858
2003,Sociologia,0.051889721198525876,0.3048523206751054,0.49071729957805915
2004,Antropologia / Arqueologia,0.12041580578512397,0.27479338842975215,0.38257575757575757
2004,Ciência Política / RI,0.10768956924172304,0.3309143686502177,0.2987421383647799
2004,Economia,0.05128338228263097,0.36027154663518296,0.5027336300063574
2004,Geografia,0.06469012397097917,0.3843044464162477,0.510355253212396
2004,História,0.05229242629570565,0.3220408402082968,0.5589031821259309
2004,Sociologia,0.05595054566108159,0.3396619304262617,0.4732974032337091
2005,Antropologia / Arqueologia,0.12343815077051229,0.2602040816326531,0.24872448979591844
2005,Ciência Política / RI,0.10205314009661837,0.3121516164994426,0.32850241545893716
2005,Economia,0.04662184392745648,0.3513470681458003,0.49320805976907395
2005,Geografia,0.04968178358424963,0.30369347099025745,0.4483931947069943
2005,História,0.049209983111277916,0.3326405290505432,0.5853881278538812
2005,Sociologia,0.04804147749197461,0.32187201528175746,0.5400303387830777
2006,Antropologia / Arqueologia,0.12453831948291783,0.27368421052631575,0.32456140350877183
2006,Ciência Política / RI,0.099703241222492,0.28177557209815274,0.2789725209080049
2006,Economia,0.043002777427092534,0.323999297752809,0.5099394987035436
2006,Geografia,0.0603567957795363,0.3514334305150632,0.504001600640256
2006,História,0.048536261239078525,0.36928424025198214,0.6041183498489002
2006,Sociologia,0.046618149318522775,0.3453860640301317,0.5357261548687271
2007,Antropologia / Arqueologia,0.12564718934911243,0.3426573426573427,0.39209401709401703
2007,Ciência Política / RI,0.09795555555555556,0.22851851851851857,0.3444444444444444
2007,Economia,0.043261882608892355,0.35471120744613027,0.5705038299708706
2007,Geografia,0.05938443191161289,0.37042418823003403,0.5073886929163886
2007,História,0.04341869391314646,0.3283745052545381,0.5577468419695797
2007,Sociologia,0.040822070091255123,0.30528846153846145,0.48104228428772045
2008,Antropologia / Arqueologia,0.10571382193003814,0.34234234234234234,0.42342342342342343
2008,Ciência Política / RI,0.09133472057074911,0.29371921182266014,0.34626436781609193
2008,Economia,0.04097300389922948,0.38673586304509,0.5866583541147132
2008,Geografia,0.044088172602416716,0.31357839459864967,0.4904240766073872
2008,História,0.041853574221161365,0.40284002453177326,0.5461671587091521
2008,Sociologia,0.04160753134765239,0.33011468738438765,0.4597854236034036
2009,Antropologia / Arqueologia,0.10105066465603435,0.38758434547908227,0.46794871794871806
2009,Ciência Política / RI,0.09068960313867512,0.315839243498818,0.3108747044917258
2009,Economia,0.043296660227877155,0.40817960817960813,0.5712301587301587
2009,Geografia,0.04365773520292471,0.29457725947521873,0.4753311851056213
2009,História,0.03356131674186201,0.3702860670125961,0.5397719139189769
2009,Sociologia,0.042650267804007144,0.3545869813475447,0.4899582681272822
2010,Antropologia / Arqueologia,0.09788136161762535,0.3388278388278389,0.44755244755244755
2010,Ciência Política / RI,0.06919645256651438,0.23413693346190936,0.3520491803278689
2010,Economia,0.042247615299563356,0.4155289155289155,0.6111535523300229
2010,Geografia,0.03793149162899927,0.27889447236180903,0.4790201005025125
2010,História,0.03466458964100346,0.3629201680672269,0.5587267801857586
2010,Sociologia,0.04263106034708118,0.3641982789964853,0.5358744394618834
2011,Antropologia / Arqueologia,0.07941451261289317,0.28922064777327927,0.4173154780442229
2011,Ciência Política / RI,0.07599422119040602,0.36150698461972636,0.4882037533512065
2011,Economia,0.04100348419881444,0.4309707673879247,0.6002827463273711
2011,Geografia,0.043508960491420265,0.3572996706915478,0.5190450054884742
2011,História,0.03400774239668397,0.3740341637503899,0.5503529622017692
2011,Sociologia,0.03477889429641819,0.27844908128308943,0.49978199937714113
2012,Antropologia / Arqueologia,0.08300616042644196,0.36812369907820397,0.4735169491525424
2012,Ciência Política / RI,0.06781245463782842,0.41634363541120994,0.4630887185104051
2012,Economia,0.042513479070679344,0.4104196133899104,0.6012101210121013
2012,Geografia,0.041382803333329485,0.3361693707954096,0.49393125671321164
2012,História,0.02957209359532728,0.3523894665851096,0.5554862842892767
2012,Sociologia,0.03142481624743741,0.3151439359322767,0.4789636967288957
2013,Antropologia / Arqueologia,0.07076698319941564,0.3483783783783784,0.43338632750397466
