ano,area_nome,grau,programas,participacao
2017,Ciência Política / RI,MESTRADO,16,0.3333333333333333
2017,Ciência Política / RI,MESTRADO PROFISSIONAL,10,0.20833333333333334
2017,Ciência Política / RI,MESTRADO/DOUTORADO,21,0.4375
2017,História,MESTRADO,22,0.30985915492957744
2017,História,MESTRADO PROFISSIONAL,10,0.14084507042253522
2017,História,MESTRADO/DOUTORADO,39,0.5492957746478874
2018,Economia,DOUTORADO,1,0.014492753623188406
2018,Economia,MESTRADO,23,0.3333333333333333
2018,Economia,MESTRADO PROFISSIONAL,16,0.2318840579710145
2018,Economia,MESTRADO/DOUTORADO,29,0.42028985507246375
2018,Sociologia,DOUTORADO,1,0.0196078431372549
2018,Sociologia,MESTRADO,13,0.2549019607843137
2018,Sociologia,MESTRADO PROFISSIONAL,2,0.0392156862745098
2018,Sociologia,MESTRADO/DOUTORADO,35,0.6862745098039216
2018,Antropologia / Arqueologia,MESTRADO,11,0.3333333333333333
2018,Antropologia / Arqueologia,MESTRADO PROFISSIONAL,1,0.030303030303030304
2018,Antropologia / Arqueologia,MESTRADO/DOUTORADO,21,0.6363636363636364
2018,Geografia,MESTRADO,27,0.4153846153846154
2018,Geografia,MESTRADO PROFISSIONAL,3,0.046153846153846156
2018,Geografia,MESTRADO/DOUTORADO,35,0.5384615384615384
2018,Ciência Política / RI,DOUTORADO,1,0.02
2018,Ciência Política / RI,MESTRADO,14,0.28
2018,Ciência Política / RI,MESTRADO PROFISSIONAL,14,0.28
2018,Ciência Política / RI,MESTRADO/DOUTORADO,21,0.42
2018,História,MESTRADO,21,0.2916666666666667
2018,História,MESTRADO PROFISSIONAL,10,0.1388888888888889
2018,História,MESTRADO/DOUTORADO,41,0.5694444444444444
2019,Economia,DOUTORADO,1,0.013333333333333334
2019,Economia,MESTRADO,22,0.29333333333333333
2019,Economia,MESTRADO PROFISSIONAL,20,0.26666666666666666
2019,Economia,MESTRADO/DOUTORADO,32,0.4266666666666667
2019,Sociologia,DOUTORADO,1,0.018867924528301886
2019,Sociologia,MESTRADO,11,0.20754716981132076
2019,Sociologia,MESTRADO PROFISSIONAL,2,0.03773584905660377
2019,Sociologia,MESTRADO/DOUTORADO,39,0.7358490566037735
2019,Antropologia / Arqueologia,MESTRADO,14,0.3783783783783784
2019,Antropologia / Arqueologia,MESTRADO PROFISSIONAL,1,0.02702702702702703
2019,Antropologia / Arqueologia,MESTRADO/DOUTORADO,22,0.5945945945945946
2019,Geografia,MESTRADO,35,0.4605263157894737
2019,Geografia,MESTRADO PROFISSIONAL,4,0.05263157894736842
2019,Geografia,MESTRADO/DOUTORADO,37,0.4868421052631579
2019,Ciência Política / RI,DOUTORADO,1,0.017241379310344827
2019,Ciência Política / RI,MESTRADO,18,0.3103448275862069
2019,Ciência Política / RI,MESTRADO PROFISSIONAL,15,0.25862068965517243
2019,Ciência Política / RI,MESTRADO PROFISSIONAL/DOUTORADO PROFISSIONAL,1,0.017241379310344827
2019,Ciência Política / RI,MESTRADO/DOUTORADO,23,0.39655172413793105
2019,História,MESTRADO,23,0.2839506172839506
2019,História,MESTRADO PROFISSIONAL,12,0.14814814814814814
2019,História,MESTRADO/DOUTORADO,46,0.5679012345679012
2020,Economia,DOUTORADO,1,0.013333333333333334
2020,Economia,MESTRADO,22,0.29333333333333333
2020,Economia,MESTRADO PROFISSIONAL,19,0.25333333333333335
2020,Economia,MESTRADO PROFISSIONAL/DOUTORADO PROFISSIONAL,1,0.013333333333333334
2020,Economia,MESTRADO/DOUTORADO,32,0.4266666666666667
2020,Sociologia,DOUTORADO,1,0.019230769230769232
2020,Sociologia,MESTRADO,10,0.19230769230769232
2020,Sociologia,MESTRADO PROFISSIONAL,1,0.019230769230769232
2020,Sociologia,MESTRADO/DOUTORADO,40,0.7692307692307693
2020,Antropologia / Arqueologia,MESTRADO,14,0.3783783783783784
2020,Antropologia / Arqueologia,MESTRADO PROFISSIONAL,1,0.02702702702702703
2020,Antropologia / Arqueologia,MESTRADO/DOUTORADO,22,0.5945945945945946
2020,Geografia,MESTRADO,35,0.4605263157894737
2020,Geografia,MESTRADO PROFISSIONAL,4,0.05263157894736842
2020,Geografia,MESTRADO/DOUTORADO,37,0.4868421052631579
2020,Ciência Política / RI,DOUTORADO,1,0.01694915254237288
2020,Ciência Política / RI,MESTRADO,18,0.3050847457627119
2020,Ciência Política / RI,MESTRADO PROFISSIONAL,16,0.2711864406779661
2020,Ciência Política / RI,MESTRADO PROFISSIONAL/DOUTORADO PROFISSIONAL,1,0.01694915254237288
2020,Ciência Política / RI,MESTRADO/DOUTORADO,23,0.3898305084745763
2020,História,MESTRADO,23,0.2875
2020,História,MESTRADO PROFISSIONAL,10,0.125
2020,História,MESTRADO PROFISSIONAL/DOUTORADO PROFISSIONAL,2,0.025
2020,História,MESTRADO/DOUTORADO,45,0.5625
2021,Economia,DOUTORADO,1,0.012987012987012988
2021,Economia,MESTRADO,23,0.2987012987012987
2021,Economia,MESTRADO PROFISSIONAL,18,0.23376623376623376
2021,Economia,MESTRADO PROFISSIONAL/DOUTORADO PROFISSIONAL,3,0.03896103896103896
2021,Economia,MESTRADO/DOUTORADO,32,0.4155844155844156
2021,Sociologia,DOUTORADO,1,0.019230769230769232
2021,Sociologia,MESTRADO,10,0.19230769230769232
2021,Sociologia,MESTRADO PROFISSIONAL,1,0.019230769230769232
2021,Sociologia,MESTRADO/DOUTORADO,40,0.7692307692307693
2021,Antropologia / Arqueologia,MESTRADO,14,0.3783783783783784
2021,Antropologia / Arqueologia,MESTRADO PROFISSIONAL,1,0.02702702702702703
2021,Antropologia / Arqueologia,MESTRADO/DOUTORADO,22,0.5945945945945946
2021,Geografia,MESTRADO,36,0.46153846153846156
2021,Geografia,MESTRADO PROFISSIONAL,5,0.0641025641025641
2021,Geografia,MESTRADO/DOUTORADO,37,0.47435897435897434
2021,Ciência Política / RI,DOUTORADO,1,0.01639344262295082
2021,Ciência Política / RI,DOUTORADO PROFISSIONAL,1,0.01639344262295082
2021,Ciência Política / RI,MESTRADO,17,0.2786885245901639
2021,Ciência Política / RI,MESTRADO PROFISSIONAL,15,0.2459016393442623
2021,Ciência Política / RI,MESTRADO PROFISSIONAL/DOUTORADO PROFISSIONAL,2,0.03278688524590164
2021,Ciência Política / RI,MESTRADO/DOUTORADO,25,0.4098360655737705
2021,História,MESTRADO,25,0.3048780487804878
2021,História,MESTRADO PROFISSIONAL,9,0.10975609756097561
2021,História,MESTRADO PROFISSIONAL/DOUTORADO PROFISSIONAL,3,0.036585365853658534
2021,História,MESTRADO/DOUTORADO,45,0.5487804878048781
2022,Economia,DOUTORADO,1,0.013333333333333334
2022,Economia,MESTRADO,23,0.30666666666666664
2022,Economia,MESTRADO PROFISSIONAL,17,0.22666666666666666
2022,Economia,MESTRADO PROFISSIONAL/DOUTORADO PROFISSIONAL,3,0.04
2022,Economia,MESTRADO/DOUTORADO,31,0.41333333333333333
2022,Sociologia,DOUTORADO,1,0.0196078431372549
2022,Sociologia,MESTRADO,10,0.19607843137254902
2022,Sociologia,MESTRADO PROFISSIONAL,1,0.0196078431372549
2022,Sociologia,MESTRADO/DOUTORADO,39,0.7647058823529411
2022,Antropologia / Arqueologia,MESTRADO,14,0.3783783783783784
2022,Antropologia / Arqueologia,MESTRADO PROFISSIONAL,1,0.02702702702702703
2022,Antropologia / Arqueologia,MESTRADO/DOUTORADO,22,0.5945945945945946
2022,Geografia,MESTRADO,35,0.45454545454545453
2022,Geografia,MESTRADO PROFISSIONAL,5,0.06493506493506493
2022,Geografia,MESTRADO/DOUTORADO,37,0.4805194805194805
2022,Ciência Política / RI,DOUTORADO,1,0.016666666666666666
2022,Ciência Política / RI,DOUTORADO PROFISSIONAL,1,0.016666666666666666
2022,Ciência Política / RI,MESTRADO,16,0.26666666666666666
2022,Ciência Política / RI,MESTRADO PROFISSIONAL,15,0.25
2022,Ciência Política / RI,MESTRADO PROFISSIONAL/DOUTORADO PROFISSIONAL,2,0.03333333333333333
2022,Ciência Política / RI,MESTRADO/DOUTORADO,25,0.4166666666666667
2022,História,MESTRADO,25,0.30864197530864196
2022,História,MESTRADO PROFISSIONAL,9,0.1111111111111111
2022,História,MESTRADO PROFISSIONAL/DOUTORADO PROFISSIONAL,3,0.037037037037037035
2022,História,MESTRADO/DOUTORADO,44,0.5432098765432098
2023,Economia,DOUTORADO,1,0.013513513513513514
2023,Economia,MESTRADO,23,0.3108108108108108
2023,Economia,MESTRADO PROFISSIONAL,16,0.21621621621621623
2023,Economia,MESTRADO PROFISSIONAL/DOUTORADO PROFISSIONAL,3,0.04054054054054054
2023,Economia,MESTRADO/DOUTORADO,31,0.4189189189189189
2023,Sociologia,DOUTORADO,1,0.0196078431372549
2023,Sociologia,MESTRADO,10,0.19607843137254902
2023,Sociologia,MESTRADO PROFISSIONAL,1,0.0196078431372549
2023,Sociologia,MESTRADO/DOUTORADO,39,0.7647058823529411
2023,Antropologia / Arqueologia,MESTRADO,14,0.3888888888888889
2023,Antropologia / Arqueologia,MESTRADO/DOUTORADO,22,0.6111111111111112
2023,Geografia,MESTRADO,35,0.45454545454545453
2023,Geografia,MESTRADO PROFISSIONAL,5,0.06493506493506493
2023,Geografia,MESTRADO/DOUTORADO,37,0.4805194805194805
2023,Ciência Política / RI,DOUTORADO,1,0.016666666666666666
2023,Ciência Política / RI,DOUTORADO PROFISSIONAL,1,0.016666666666666666
2023,Ciência Política / RI,MESTRADO,16,0.26666666666666666
2023,Ciência Política / RI,MESTRADO PROFISSIONAL,15,0.25
2023,Ciência Política / RI,MESTRADO PROFISSIONAL/DOUTORADO PROFISSIONAL,2,0.03333333333333333
2023,Ciência Política / RI,MESTRADO/DOUTORADO,25,0.4166666666666667
2023,História,MESTRADO,25,0.30864197530864196
2023,História,MESTRADO PROFISSIONAL,9,0.1111111111111111
2023,História,MESTRADO PROFISSIONAL/DOUTORADO PROFISSIONAL,3,0.037037037037037035
2023,História,MESTRADO/DOUTORADO,44,0.5432098765432098
2024,Economia,DOUTORADO,1,0.013157894736842105
2024,Economia,MESTRADO,22,0.2894736842105263
2024,Economia,MESTRADO PROFISSIONAL,17,0.2236842105263158
2024,Economia,MESTRADO PROFISSIONAL/DOUTORADO PROFISSIONAL,4,0.05263157894736842
2024,Economia,MESTRADO/DOUTORADO,32,0.42105263157894735
2024,Sociologia,DOUTORADO,1,0.019230769230769232
2024,Sociologia,MESTRADO,12,0.23076923076923078
2024,Sociologia,MESTRADO/DOUTORADO,39,0.75
2024,Antropologia / Arqueologia,MESTRADO,16,0.42105263157894735
2024,Antropologia / Arqueologia,MESTRADO/DOUTORADO,22,0.5789473684210527
2024,Geografia,MESTRADO,35,0.4375
2024,Geografia,MESTRADO PROFISSIONAL,4,0.05
2024,Geografia,MESTRADO/DOUTORADO,41,0.5125
2024,Ciência Política / RI,DOUTORADO,1,0.015625
2024,Ciência Política / RI,DOUTORADO PROFISSIONAL,1,0.015625
2024,Ciência Política / RI,MESTRADO,13,0.203125
2024,Ciência Política / RI,MESTRADO PROFISSIONAL,17,0.265625
2024,Ciência Política / RI,MESTRADO PROFISSIONAL/DOUTORADO PROFISSIONAL,2,0.03125
2024,Ciência Política / RI,MESTRADO/DOUTORADO,30,0.46875
2024,História,MESTRADO,21,0.2625
2024,História,MESTRADO PROFISSIONAL,8,0.1
2024,História,MESTRADO PROFISSIONAL/DOUTORADO PROFISSIONAL,3,0.0375
2024,História,MESTRADO/DOUTORADO,48,0.6
