classe,n_auto,n_referencia,precisao,recall,f1
CP,40,34,0.6,0.7058823529411765,0.6486486486486486
RI,40,57,0.875,0.6140350877192983,0.7216494845360825
PP,40,48,0.7,0.5833333333333334,0.6363636363636365
DEFESA,40,23,0.475,0.8260869565217391,0.6031746031746033
SEGPUB,40,45,0.975,0.8666666666666667,0.9176470588235294
OUTROS,40,33,0.4,0.48484848484848486,0.4383561643835617
