fonte,k_num,topico,ini,ini_inf,ini_sup,fim,fim_inf,fim_sup,variacao_pp,ic_disjunto,direcao
composição fixa,1,"T1: Políticas Públicas, Educação e Saúde",0.06405478194238748,-0.018158007420082674,0.14876286903232544,0.11899622780952225,0.10364549626639326,0.13410843463670855,5.494144586713477,FALSE,sem mudança distinguível
composição fixa,2,"T2: Política Externa, Cooperação e Integração Regional",0.11453056948829368,0.02218736484193981,0.21027284919084296,0.062105741743946855,0.04857134334937429,0.075502301593052,-5.2424827744346825,FALSE,sem mudança distinguível
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,0.08461321488118516,-0.006551667228297144,0.17315663946597057,0.08013438982982972,0.06715015509835241,0.09232456639920701,-0.44788250513554395,FALSE,sem mudança distinguível
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",0.01333833263834751,-0.05611183694976917,0.08671913146744172,0.06090599321051479,0.04872726044268292,0.07304120918414846,4.756766057216728,FALSE,sem mudança distinguível
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",0.18390876932321903,0.06663287376106192,0.3057826214124091,0.2689448684276652,0.251717626180986,0.2863620502815275,8.503609910444615,FALSE,sem mudança distinguível
composição fixa,6,T6: Teoria e Pensamento Político,0.3825340307947025,0.24246471352315632,0.5215512022885661,0.16601021210518438,0.1497907772142198,0.18240370016310714,-21.65238186895181,TRUE,queda
composição fixa,7,"T7: Direitos, Gênero e Violência",0.03314215643249809,-0.052965760432818754,0.11757317286058191,0.1073822146307153,0.09432689975750086,0.12078006923644151,7.424005819821722,FALSE,sem mudança distinguível
composição fixa,8,"T8: Participação, Movimentos e Arranjos Institucionais",0.12139299089684477,0.03352337849480187,0.21220529618741152,0.1353974354673091,0.12269344859382293,0.1481385831516995,1.400444457046432,FALSE,sem mudança distinguível
