ano,area_nome,nivel,titulos
1995,Não identificado,Mestrado,601
1995,Não identificado,Não informado,0
1995,Sociologia,Doutorado,46
1995,Sociologia,Mestrado,204
1995,Sociologia,Não informado,0
1996,Antropologia / Arqueologia,Doutorado,17
1996,Antropologia / Arqueologia,Mestrado,86
1996,Antropologia / Arqueologia,Não informado,0
1996,Ciência Política / RI,Doutorado,5
1996,Ciência Política / RI,Mestrado,86
1996,Ciência Política / RI,Não informado,0
1996,Economia,Doutorado,42
1996,Economia,Mestrado,187
1996,Economia,Não informado,0
1996,Geografia,Doutorado,35
1996,Geografia,Mestrado,112
1996,Geografia,Não informado,0
1996,História,Doutorado,76
1996,História,Mestrado,298
1996,História,Não informado,0
1996,Não identificado,Doutorado,88
1996,Não identificado,Mestrado,301
1996,Não identificado,Não informado,0
1996,Sociologia,Doutorado,58
1996,Sociologia,Mestrado,252
1996,Sociologia,Não informado,0
1997,Antropologia / Arqueologia,Doutorado,25
1997,Antropologia / Arqueologia,Mestrado,76
1997,Antropologia / Arqueologia,Não informado,0
1997,Ciência Política / RI,Doutorado,29
1997,Ciência Política / RI,Mestrado,89
1997,Ciência Política / RI,Não informado,0
1997,Economia,Doutorado,51
1997,Economia,Mestrado,240
1997,Economia,Não informado,0
1997,Geografia,Doutorado,45
1997,Geografia,Mestrado,115
1997,Geografia,Não informado,0
1997,História,Doutorado,112
1997,História,Mestrado,276
1997,História,Não informado,0
1997,Não identificado,Doutorado,101
1997,Não identificado,Mestrado,331
1997,Não identificado,Não informado,0
1997,Sociologia,Doutorado,74
1997,Sociologia,Mestrado,261
1997,Sociologia,Não informado,0
1998,Antropologia / Arqueologia,Doutorado,34
1998,Antropologia / Arqueologia,Mestrado,79
1998,Antropologia / Arqueologia,Não informado,0
1998,Ciência Política / RI,Doutorado,27
1998,Ciência Política / RI,Mestrado,84
1998,Ciência Política / RI,Não informado,0
1998,Economia,Doutorado,58
1998,Economia,Mestrado,225
1998,Economia,Não informado,0
1998,Geografia,Doutorado,47
1998,Geografia,Mestrado,120
1998,Geografia,Não informado,0
1998,História,Doutorado,132
1998,História,Mestrado,277
1998,História,Não informado,0
1998,Não identificado,Doutorado,113
1998,Não identificado,Mestrado,394
1998,Não identificado,Não informado,0
1998,Sociologia,Doutorado,105
1998,Sociologia,Mestrado,228
1998,Sociologia,Não informado,0
1999,Antropologia / Arqueologia,Doutorado,32
